"locality_and_treatment","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated","LiDAR.data.from.year","plot_density_m2","resolution_m","region","Moose2015","Reddeer2015","Roedeer2015","YrsSinceExclosure","field_mean","field_median","trt","mean","n","median","sd","min","max","ninetyfive","first_qu","third_qu","mad","rmad","pf70","df1","dl2","rumple","vci","prod"
"steinkjer_1BBb_b","1BBB","steinkjer_1BBb","B",11.891657,64.213491,2005,2008,2011,2,"0,5","Trondelag",107.5650526,2.431337072,17.86445891,3,0.39359120841319,0.25,"b",0.0570524412296564,553,0,0.11653275554324,-0.04,0.78,0.29,0,0.07,0,NA,0.04,0,0,1.05164919868434,NA,0.115979123017114
"steinkjer_1BBb_ub","1BBUB","steinkjer_1BBb","UB",11.892633,64.213433,2005,2008,2011,2,"0,5","Trondelag",107.5650526,2.431337072,17.86445891,3,0.49828125,0.375,"ub",0.0794509803921569,510,0,0.147071252758773,-0.05,0.95,0.38,0,0.11,0,NA,0.09,0,0,1.07252179109738,NA,0.115979123017114
"steinkjer_2BBb_b","2BBB","steinkjer_2BBb","B",11.86149,64.199944,2004,2008,2011,2,"0,5","Trondelag",107.5650526,2.431337072,17.86445891,3,0.540760869565217,0.25,"b",0.482030360531309,527,0,1.48793840554515,-0.03,8.85,2.927,0,0.145,0,NA,0.09,0.00759013282732448,0,1.80396958013393,0.251825052054033,0.0870407514943544
"steinkjer_2BBb_ub","2BBUB","steinkjer_2BBb","UB",11.860742,64.199657,2004,2008,2011,2,"0,5","Trondelag",107.5650526,2.431337072,17.86445891,3,0.542534722222222,0.375,"ub",0.3271875,512,0,1.04440972945227,-0.04,8.78,1.48,0,0.16,0,NA,0.1,0,0,1.77054155042815,0.228420830778472,0.0870407514943544
"stig_dahlen_b","SDB","Stig Dahlen","B",11.511604,59.958474,2007,2010,2017,2,"0,5","Hedmark",56.43464358,0,18.91236981,7,0.967693236714976,1,"b",0.27471218206158,747,0.09,0.388626530989154,0,2.53,1.027,0,0.43,0.133434,1.4826,0.341999999999999,0,0,1.43064309351023,0.381497647465585,1
"stig_dahlen_ub","SDUB","Stig Dahlen","UB",11.510852,59.957798,2007,2010,2017,2,"0,5","Hedmark",56.43464358,0,18.91236981,7,1.91558427440469,1.875,"ub",2.6530029154519,686,2.685,0.967454190993207,0,6.54,4.12,2.0625,3.2775,0.896973,0.334068156424581,3.14,0.653061224489796,0.829721362229102,4.24213423690209,0.794579457802613,1
"sub_namdalseid_b","1SB","Sub_Namdalseid","B",11.314401,64.181582,2004,2008,2010,2,"0,5","Trondelag",75.88802955,8.758466457,7.375877596,2,0.29389880952381,0.25,"b",0.204462179042332,1441,0,0.953797092979176,-0.01,7.99,0.31,0,0.08,0,NA,0.06,0,0,1.63121756871169,0.0918188284289319,0.0774373445233693
"sub_namdalseid_ub","1SUB","Sub_Namdalseid","UB",11.313697,64.181336,2004,2008,2010,2,"0,5","Trondelag",75.88802955,8.758466457,7.375877596,2,0.297569444444444,0.25,"ub",0.0611301859799714,699,0,0.163838305016419,0,2.38,0.341,0,0.035,0,NA,0,0,0,1.09308089252171,0.0675288110367079,0.0774373445233693
"truls_holm_b","THB","Truls Holm","B",11.801503,59.850496,2007,2010,2017,2,"0,5","Hedmark",56.43464358,0,18.91236981,7,0.830876161440186,0.75,"b",0.279068702290076,655,0,0.498695748328797,0,3.38,1.293,0,0.295,0,NA,0.208,0,0,1.56510009176434,0.367993960938631,0.29477737362203
"truls_holm_ub","THUB","Truls Holm","UB",11.80162,59.8511,2007,2010,2017,2,"0,5","Hedmark",56.43464358,0,18.91236981,7,1.10291364296081,0.75,"ub",0.951,690,1,0.925725706772784,0,4.02,2.552,0,1.59,1.319514,1.319514,1.46,0.0608695652173913,0,3.07607946628907,0.64580660344845,0.29477737362203
"verdal_1vb_b","1VBB","verdal_1vb","B",11.793287,63.721556,2005,2008,2015,2,"0,5","Trondelag",28.2697902,2.827400105,6.979690234,7,0.286111111111111,0.25,"b",0.0453239656518345,1281,0,0.0688413628969627,0,0.73,0.17,0,0.08,0,NA,0.06,0,0,1.04418985936768,NA,0.0119389206250207
"verdal_1vb_ub","1VBUB","verdal_1vb","UB",11.793114,63.721926,2005,2008,2015,2,"0,5","Trondelag",28.2697902,2.827400105,6.979690234,7,0.680555555555556,0.625,"ub",0.233799843627834,1279,0.02,0.887042320772755,0,7.36,1.01699999999997,0,0.1,0.029652,1.4826,0.08,0,0,1.65651583144845,0.126258818047864,0.0119389206250207
"verdal_2vb_b","2VBB","verdal_2VB","B",11.678672,63.7363,2003,2008,2015,2,"0,5","Trondelag",28.2697902,2.827400105,6.979690234,7,1.18099376114082,0.75,"b",0.257627974044701,1387,0.06,0.412489797009334,0,2.41,1.24,0,0.33,0.088956,1.4826,0.25,0,0,1.5437023746706,0.406463633937354,0.24111518527678
"verdal_2vb_ub","2VBUB","verdal_2VB","UB",11.679582,63.736321,2003,2008,2015,2,"0,5","Trondelag",28.2697902,2.827400105,6.979690234,7,2.08343253968254,2,"ub",1.23811538461538,1560,1.075,1.17342086350935,0,4.89,3.191,0.05,2.26,1.549317,1.44122511627907,2,0.228846153846154,0.821989528795812,3.10839758125937,0.7605534571547,0.24111518527678
