"","LocalityName","ExperimentID","Region.x","DistrictID","LocalityCode","Treatment","Longitude","Latitude","Clear cut","Year initiated","LiDAR data from year","Point density (/m^2)","Resolution (m)","X14","X1","Region.y","Productivity"
"44","namdalseid_1kub","{36856F81-364E-4F86-B5D1-AA06D7E3475F}","Tr<f8>ndelag",1725,"1KUB","UB",11318889,64263747,"2006",2008,2010,2,"0,5",NA,22,"Trondelag",0.222676728012514
"45","Nes 1","{4AD82623-A17A-4FDA-A448-D2C5F4BE2E20}","Hedmark",236,"DDB","B",11488864,60081806,"2008/9",2011,2019,5,"0,25",NA,23,"Hedmark",0.384882645546765
"46","Nes 1","{A1DD1C98-50D7-429F-BA22-F17C64948FAE}","Hedmark",236,"DDUB","UB",11489434,60082406,"2008/9",2011,2019,5,"0,25",NA,23,"Hedmark",0.384882645546765
"47","Nes 2","{612BC516-8210-410E-AFFF-4BDDFCE39093}","Hedmark",236,"OLB","B",1162658,60088723,"2008/9",2011,2019,5,"0,25",NA,24,"Hedmark",0.984450427246636
"48","Nes 2","{1100CE3A-0101-45E3-9820-EF18DBEE3226}","Hedmark",236,"OLUB","UB",11625671,60088665,"2008/9",2011,2019,5,"0,25",NA,24,"Hedmark",0.984450427246636
"49","Nome_Cappelen1","{95EDA0E0-4702-4DAF-A9E5-D1AAE8EF6B30}","Telemark",806,"1CAB","B",9262933,59141608,"2006",2009,2017,2,"0,5",NA,25,"Telemark",0.0804412833108973
"50","Nome_Cappelen1","{C860FA23-A806-4B1A-90A9-084A813B1A50}","Telemark",806,"1CAUB","UB",9263685,59141688,"2006",2009,2017,2,"0,5",NA,25,"Telemark",0.0804412833108973
"51","Nome_Cappelen2","{1345C5C5-BA31-49C1-BB59-BC222904C1F0}","Telemark",819,"2CAB","B",912481,59262313,"2006",2009,2017,2,"0,5",NA,26,"Telemark",0.166542736794977
"52","Nome_Cappelen2","{F17E7D99-B3D6-4D0A-BF35-16171967FF10}","Telemark",819,"2CAUB","UB",9124931,592619,"2006",2009,2017,2,"0,5",NA,26,"Telemark",0.166542736794977
"53","Notodden3","{B904F9DB-5F92-4886-B4A5-C5D99FE8E757}","Telemark",807,"3NOB","B",9080254,59676721,"2002",2009,2017,5,"0,25",NA,28,"Telemark",0.14243035474986
"54","Notodden3","{19DDB1ED-1B2C-4ED5-999A-41A3DC3947FF}","Telemark",807,"3NOUB","UB",9080717,59677287,"2002",2009,2017,5,"0,25",NA,28,"Telemark",0.14243035474986
"55","Notodden5","{6B9FC135-1645-4D40-9236-E7C702EA5024}","Telemark",807,"5NOB","B",8970883,59694837,"2007",2009,2017,2,"0,5",NA,30,"Telemark",0.119776917028699
"56","Notodden5","{7342BD69-A5CE-4A8D-82D7-9E844C414A91}","Telemark",807,"5NOUB","UB",8970475,59694495,"2007",2009,2017,2,"0,5",NA,30,"Telemark",0.119776917028699
"57","Notodden6","{2794FC4A-44B8-4385-8623-C70616E46628}","Telemark",807,"6NOB","B",9010986,5955497,"2003",2009,2017,2,"0,5",NA,31,"Telemark",0.106105682858758
"58","Notodden6","{739EBAA5-D414-4753-93CF-5A96CFD3A9E4}","Telemark",807,"6NOUB","UB",9011906,59554755,"2003",2009,2017,2,"0,5",NA,31,"Telemark",0.106105682858758
"59","Nsb_Verdal","{458C6729-4246-48A6-99BF-6BD563D4CAC1}","Tr<f8>ndelag",1721,"1NSB","B",11577472,63843674,"2006",2008,2015,2,"0,5",NA,32,"Trondelag",0.11046364755872
"60","Nsb_Verdal","{E8CDF86B-92A0-403D-BE65-093281A19FAA}","Tr<f8>ndelag",1721,"1NSUB","UB",1157849,63843925,"2006",2008,2015,2,"0,5",NA,32,"Trondelag",0.11046364755872
"61","Selbu_Flub","{D701FCEB-1D2B-4CAF-A5F6-2947B5CAA2FE}","Tr<f8>ndelag",1664,"FLB","B",11038617,63254449,"2004",2008,2015,2,"0,5",NA,33,"Trondelag",0.271341571962914
"62","Selbu_Flub","{9B4F9B67-39BA-45B2-9320-ED5C8EBFFB3F}","Tr<f8>ndelag",1664,"FLUB","UB",11038505,632549,"2004",2008,2015,2,"0,5",NA,33,"Trondelag",0.271341571962914
"63","Selbu_kl","{436D050D-BBC7-4E3F-A530-824096A01910}","Tr<f8>ndelag",1664,"KLB","B",11031603,63192682,"2003",2008,2015,2,"0,5",NA,34,"Trondelag",0.116040590906093
